원표기	측정맥락	표준명	표준코드	CAS	IARC	유형	비유해	연관인자	매핑근거	신뢰도	사례수	측정건수
소음(충격음)	충격음	소음(강렬한소음포함)	소음강렬-098						동의어사전→소음(강렬한소음포함)	R	2	2
시클로헥사논		시클로헥사논				유기용제			정준명(레지스트리 외)	C	2	2
아크릴아마이드		아크릴아미드	아크릴아-121	79-06-1	Group 2A				동의어사전→아크릴아미드	R	2	2
에틸아세테이트		에틸 아세테이트	에틸아세-131	141-78-6					레지스트리 정확일치	R	2	2
철		철 및 그 화합물				금속			정준명(레지스트리 외)	C	2	2
헵탄		n-헵탄	N헵탄-212	142-82-5					레지스트리 포함매칭	R	2	2
혼합유기화합물		유기화합물	유기화합-147						레지스트리 포함매칭	R	2	2
메트헤모글로빈						비유해인자	생체지표		비유해인자:생체지표	NA	1	7
방사선 (Ir-192)	Ir-192	전리방사선	전리방사-167		Group 1				별표22:전리방사선(상위 승격)	R	1	5
6가크롬(불용성)	불용성	크롬 및 그 화합물	크롬및그-183	7440-47-3	Group 1				동의어사전→크롬 및 그 화합물	R	1	4
BC(블랙카본)	블랙카본	원소탄소(블랙카본)				분진			정준명(레지스트리 외)	C	1	4
소음(청력손실)	청력손실	소음(강렬한소음포함)	소음강렬-098						동의어사전→소음(강렬한소음포함)	R	1	4
알루미늄 (혈중)	혈중	알루미늄 및 그 화합물	알루미늄-124	7429-90-5					레지스트리 포함매칭	R	1	4
전자파		전자기장	전자기장-168		Group 2B				동의어사전→전자기장	R	1	4
NO2		이산화질소	이산화질-152	10102-44-0					동의어사전→이산화질소	R	1	3
방사선(이온화방사선)	이온화방사선	전리방사선	전리방사-167		Group 1				별표22:전리방사선(상위 승격)	R	1	3
베릴륨		베릴륨 및 그 화합물	베릴륨및-066	7440-41-7	Group 1				레지스트리 포함매칭	R	1	3
브롬이온		브롬화 화합물	브롬화화-077						동의어사전→브롬화 화합물	R	1	3
수은		수은 및 그 화합물	수은및그-103	7439-97-6					동의어사전→수은 및 그 화합물	R	1	3
알루미늄 (요중)	요중	알루미늄 및 그 화합물	알루미늄-124	7429-90-5					레지스트리 포함매칭	R	1	3
에어로솔		가스/흄/미스트				분진			정준명(레지스트리 외)	C	1	3
자기장(극저주파)	극저주파	극저주파 자기장	극저주파-023		Group 2B				별표22:극저주파 자기장	R	1	3
코크스로배출물		코크스 제조	코크스제-182		Group 1				동의어사전→코크스 제조	R	1	3
CO		일산화탄소	일산화탄-162	630-08-0					동의어사전→일산화탄소	R	1	2
EC(원소탄소)	원소탄소	원소탄소				분진			정준명(레지스트리 외)	C	1	2
MEA(에탄올아민)	에탄올아민	에탄올아민				유기화합물			정준명(레지스트리 외)	C	1	2
X선(이오나이저)	이오나이저	X선 및 감마선	X선및감-006		Group 1				레지스트리 포함매칭	R	1	2
가성소다(NaOH)	NaOH	수산화 나트륨	수산화나-100	1310-73-2					동의어사전→수산화 나트륨	R	1	2
고무분진		고무제조산업(직업노출)	고무제조-014		Group 1				동의어사전→고무제조산업(직업노출)	R	1	2
나노 및 마이크로 입자 (아연, 탄소, 니켈 구성성분)	아연, 탄소, 니켈 구성성분	기타 분진 및 입자상 물질	기타분진-030						동의어사전→기타 분진 및 입자상 물질	R	1	2
나노 및 마이크로 입자 (아연, 탄소, 니켈 등 구성성분)	아연, 탄소, 니켈 등 구성성분	기타 분진 및 입자상 물질	기타분진-030						동의어사전→기타 분진 및 입자상 물질	R	1	2
나노입자		기타 분진 및 입자상 물질	기타분진-030						동의어사전→기타 분진 및 입자상 물질	R	1	2
농약		농약	농약-036						레지스트리 정확일치	R	1	2
도료 분진		페인트 및 코팅제	페인트및-196						동의어사전→페인트 및 코팅제	R	1	2
마뇨산(요중)	요중					비유해인자	생체지표	톨루엔	비유해인자:생체지표	NA	1	2
망간흄		망간 및 그 무기화합물	망간및그-050	7439-96-5					동의어사전→망간 및 그 무기화합물	R	1	2
벤지딘		벤지딘	벤지딘-069						레지스트리 정확일치	R	1	2
산소(O₂)	O₂					비유해인자	비유해(정상성분)		비유해인자:비유해(정상성분)	NA	1	2
석영		결정형 유리규산	광물성분-012	14808-60-7	Group 1				동의어사전→결정형 유리규산	R	1	2
소음 (개인노출수준)	개인노출수준	소음(강렬한소음포함)	소음강렬-098						동의어사전→소음(강렬한소음포함)	R	1	2
수은 (요중)	요중	수은 및 그 화합물	수은및그-103	7439-97-6					동의어사전→수은 및 그 화합물	R	1	2
실리카 (호흡성 분진 중)	호흡성 분진 중	결정형 유리규산	광물성분-012	14808-60-7	Group 1				동의어사전→결정형 유리규산	R	1	2
요중 총삼염화물	요중					비유해인자	생체지표	트리클로로에틸렌	비유해인자:생체지표	NA	1	2
유기화합물		유기화합물	유기화합-147						레지스트리 정확일치	R	1	2
일반분진		일반 분진	일반분진-160						동의어사전→일반 분진	R	1	2
자외선		자외선(비전리방사선)				물리적			정준명(레지스트리 외)	C	1	2
잔류벤젠		벤젠	벤젠-067	71-43-2	Group 1				레지스트리 포함매칭	R	1	2
전리방사선(Ir-192)	Ir-192	전리방사선	전리방사-167		Group 1				별표22:전리방사선(상위 승격)	R	1	2
전리방사선(누적피폭선량)	누적피폭선량	전리방사선	전리방사-167		Group 1				별표22:전리방사선(상위 승격)	R	1	2
전리방사선(체외 피폭)	체외 피폭	전리방사선	전리방사-167		Group 1				별표22:전리방사선(상위 승격)	R	1	2
주물사 분진		결정형 유리규산	광물성분-012	14808-60-7	Group 1				동의어사전→결정형 유리규산	R	1	2
총유기화합물(TVOC)	TVOC	유기화합물	유기화합-147						레지스트리 포함매칭	R	1	2
크롬산 납 등 중금속이 함유된 페인트 도료 분진		중금속류	중금속류-171						동의어사전→중금속류	R	1	2
